priority_rank,product_area,requested_feature,decision,reason,accounts_affected,revenue_blocked,retention_risk,expansion_potential,implementation_effort,next_step,owner,due_timing
1,Onboarding,Custom field import validation,Build now,"Build now priority; Repeated frequency; High retention risk; Medium expansion potential; Medium effort; $120,000 revenue blocked; decision: Build now",Keystone Finance,120000,High,Medium,Medium,Scope Custom field import validation for this roadmap cycle and assign product owner.,Product,This week
2,Integrations,Salesforce two-way sync,Build now,"Build now priority; Widespread frequency; Medium retention risk; High expansion potential; High effort; $140,000 revenue blocked; decision: Build now",Aster Analytics,140000,Medium,High,High,Scope Salesforce two-way sync for this roadmap cycle and assign product owner.,Product,This week
3,Admin,Advanced audit logs,Build now,"Build now priority; Repeated frequency; Medium retention risk; High expansion potential; High effort; $250,000 revenue blocked; decision: Build now",Cedar Bank,250000,Medium,High,High,Scope Advanced audit logs for this roadmap cycle and assign product owner.,Product,This week
4,Admin,Audit log export,Build now,"Build now priority; Some frequency; Medium retention risk; High expansion potential; Medium effort; $220,000 revenue blocked; decision: Build now",Ironclad Manufacturing,220000,Medium,High,Medium,Scope Audit log export for this roadmap cycle and assign product owner.,Product,This week
5,Reporting,Business unit ROI dashboard,Build now,Build now priority; Repeated frequency; Critical retention risk; High expansion potential; High effort; decision: Build now,Harbor Freight Systems,0,Critical,High,High,Scope Business unit ROI dashboard for this roadmap cycle and assign product owner.,Product,This week
6,Onboarding,Activation sync verification,Validate with customers,"Validate next priority; Repeated frequency; High retention risk; Low expansion potential; Medium effort; $61,000 revenue blocked; decision: Validate with customers",Quartz Logistics,61000,High,Low,Medium,Run discovery with 3 to 5 accounts on Activation bug before committing build capacity.,Founder or Product,Next 14 days
7,Reporting,Department adoption dashboard,Validate with customers,Validate next priority; Repeated frequency; Critical retention risk; Medium expansion potential; Medium effort; decision: Validate with customers,Horizon Clinics,0,Critical,Medium,Medium,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.,Founder or Product,Next 14 days
8,Reporting,Cohort reporting,Validate with customers,Validate next priority; Widespread frequency; Critical retention risk; Medium expansion potential; High effort; decision: Validate with customers,Riverbend Insurance,0,Critical,Medium,High,Run discovery with 3 to 5 accounts on Reporting gap before committing build capacity.,Founder or Product,Next 14 days
9,API,Higher rate limit and retry policy,Validate with customers,Validate next priority; Repeated frequency; High retention risk; High expansion potential; High effort; decision: Validate with customers,Zenith Supply,0,High,High,High,Run discovery with 3 to 5 accounts on API reliability before committing build capacity.,Founder or Product,Next 14 days
10,Admin,Session policy controls,Validate with customers,"Validate next priority; Some frequency; Medium retention risk; Medium expansion potential; High effort; $180,000 revenue blocked; decision: Validate with customers",Greenfield Capital,180000,Medium,Medium,High,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.,Founder or Product,Next 14 days
11,Integrations,HubSpot activity sync,Validate with customers,"Validate next priority; Repeated frequency; Low retention risk; Medium expansion potential; Medium effort; $82,000 revenue blocked; decision: Validate with customers",Northstar Robotics,82000,Low,Medium,Medium,Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.,Founder or Product,Next 14 days
12,Automation,Exception routing workflow,Validate with customers,"Validate next priority; Repeated frequency; Medium retention risk; High expansion potential; Medium effort; $70,000 revenue blocked; decision: Validate with customers",Vector Cloud,70000,Medium,High,Medium,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.,Founder or Product,Next 14 days
13,Permissions,Region-level admin roles,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,TerraGrid Energy,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Founder or Product,Next 14 days
14,Reporting,Team usage analytics,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Falcon Security,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Usage reporting before committing build capacity.,Founder or Product,Next 14 days
15,Admin,Delegated admin roles,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,NovaPay Systems,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.,Founder or Product,Next 14 days
16,Automation,Automated exception triage,Validate with customers,Validate next priority; Some frequency; High retention risk; Low expansion potential; High effort; decision: Validate with customers,Oakstone HR,0,High,Low,High,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.,Founder or Product,Next 14 days
17,API,Failed import webhook alert,Validate with customers,Validate next priority; Some frequency; Medium retention risk; Medium expansion potential; Medium effort; decision: Validate with customers,Novel Foods,0,Medium,Medium,Medium,Run discovery with 3 to 5 accounts on Notification reliability before committing build capacity.,Founder or Product,Next 14 days
18,Integrations,CRM export templates,Validate with customers,"Validate next priority; Repeated frequency; Low retention risk; Medium expansion potential; Medium effort; $45,000 revenue blocked; decision: Validate with customers",Cloudlane Ops,45000,Low,Medium,Medium,Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.,Founder or Product,Next 14 days
19,Reporting,Manager adoption scorecards,Validate with customers,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Apex Robotics,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.,Founder or Product,Next 14 days
20,Reporting,Async report export,Validate with customers,"Validate next priority; Some frequency; Medium retention risk; Low expansion potential; Medium effort; $25,000 revenue blocked; decision: Validate with customers",Atlas Legal,25000,Medium,Low,Medium,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Founder or Product,Next 14 days
21,Reporting,Faster manager dashboard,Validate with customers,Validate next priority; Repeated frequency; Medium retention risk; Medium expansion potential; High effort; decision: Validate with customers,Luma Health,0,Medium,Medium,High,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Founder or Product,Next 14 days
22,Permissions,Department permissions,Validate with customers,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Orbit Labs,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Founder or Product,Next 14 days
23,Reporting,Customer proof library,Add to roadmap candidate list,"Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; $30,000 revenue blocked; decision: Add to roadmap candidate list",SignalForge AI,30000,Low,Medium,Low,Keep Customer proof library in candidate list and review if signal repeats next cycle.,Founder,Next roadmap review
24,Reporting,Proof metrics export,Add to roadmap candidate list,Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; decision: Add to roadmap candidate list,BluePeak Software,0,Low,Medium,Low,Keep Proof metrics export in candidate list and review if signal repeats next cycle.,Customer Success,Next roadmap review
